id,delinq_2yrs,earliest_cr_line2,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
69124,0,2000-08-01,0,NA,NA,2,0,8311,0.598,9,21028,13396,18000,3028,0,0,0,2011-04-01,599,2016-05-01
69168,0,2005-02-01,3,NA,NA,2,0,591,0.844,6,6252,6220,5000,1252,0,0,0,2011-04-01,185,2016-05-01
69251,0,1994-12-01,1,0,0,16,0,29797,0.232,39,6784,566,6000,769,15,0,0,2011-05-01,190,2011-05-01
69550,0,2005-10-01,1,NA,NA,7,0,7248,0.692,11,15924,15900,11200,4724,0,0,0,2014-08-01,2817,2016-05-01
69828,0,1975-06-01,0,0,0,4,0,5656,0.276,25,17209,15034,15000,2114,94.88000045,0,0,2011-08-01,39,2011-08-01
69924,0,2002-11-01,0,0,0,11,0,21162,0.577,14,12226,10739,10000,2226,0,0,0,2011-04-01,360,2016-02-01
69990,0,1994-09-01,1,NA,NA,8,0,16931,0.346,21,17439,16201,15500,1939,0,0,0,2013-02-01,473,2013-02-01
70348,0,1997-11-01,0,68,63,5,1,4822,0.581,27,11341,10948,9600,1741,0,0,0,2010-05-01,3774,2016-05-01
76597,2,2003-04-01,0,5,NA,5,0,14354,0.366,7,5726,2033,5000,726,0,0,0,2010-07-01,161,2010-07-01
84918,0,1994-12-01,1,NA,NA,12,0,1576,0.057,21,5201,2107,5000,201,0,0,0,2008-04-01,4269,2007-06-01
87023,1,2003-10-01,0,11,0,7,0,4175,0.515,8,9196,981,7500,1696,0,0,0,2010-06-01,257,2010-06-01
88854,0,1995-03-01,0,0,0,2,0,3164,0.137,2,5175,233,5000,175,0,0,0,2008-03-01,0,2007-05-01
90376,0,1988-11-01,0,0,0,17,0,85607,0.007,26,5175,673,5000,175,0,0,0,2008-01-01,0,2007-06-01
90395,0,1998-10-01,0,0,0,11,0,9698,0.194,20,5273,1398,5000,273,0,0,0,2008-04-01,0,2007-06-01
90665,1,1986-12-01,1,5,0,6,0,8847,0.269,9,9914,1021,8500,1414,0,0,0,2010-07-01,282,2010-07-01
90966,0,1987-12-01,0,0,0,2,0,6053,0.195,19,5175,4295,5000,175,0,0,0,2008-01-01,4398,2007-06-01
92187,0,1990-11-01,0,0,0,13,0,7274,0.131,40,2823,1214,2500,323,0,0,0,2010-07-01,81,2010-06-01
92402,0,1994-05-01,0,0,0,10,0,66033,0.23,29,5699,798,5000,699,0,0,0,2010-07-01,160,2014-11-01
92440,0,2000-07-01,0,0,0,8,0,3660,0.068,16,5594,3469,5000,594,0,0,0,2010-07-01,158,2007-06-01
92507,0,1997-10-01,0,0,0,7,0,216,0.006,19,5594,280,5000,594,0,0,0,2010-07-01,157,2007-06-01
92533,0,1996-07-01,3,0,44,15,1,27185,0.161,29,5913,799,5000,913,0,0,0,2010-07-01,166,2007-06-01
92552,0,1995-08-01,1,0,0,6,0,28329,0.486,6,5805,436,5000,805,0,0,0,2010-07-01,163,2010-06-01
92666,0,1995-02-01,1,0,0,16,0,60568,0.392,38,5752,604,5000,752,0,0,0,2010-07-01,162,2007-06-01
92676,0,1996-06-01,0,0,0,12,0,40934,0.263,39,5646,170,5000,646,0,0,0,2010-07-01,158,2007-06-01
93061,0,1997-10-01,0,0,0,8,0,8379,0.169,16,5594,280,5000,594,0,0,0,2010-07-01,158,2010-06-01
93277,0,2000-09-01,1,0,0,10,0,3660,0.078,13,3420,1083,3000,420,0,0,0,2010-07-01,98,2010-07-01
94838,1,1997-02-01,0,19,0,5,0,0,0,8,3499,2975,3000,499,0,0,0,2010-07-01,99,2013-02-01
96350,0,1993-04-01,0,0,0,10,0,15840,0.471,12,5913,1006,5000,913,0,0,0,2010-07-01,167,2012-10-01
96844,0,1992-02-01,0,0,0,15,0,6844,0.144,29,6013,681,5300,713,0,0,0,2010-07-01,171,2010-07-01
98276,0,1989-03-01,0,0,0,4,0,1321,0.165,4,6070,225,5400,670,0,0,0,2010-07-01,170,2013-12-01
98339,0,1995-06-01,0,0,0,11,0,4737,0.239,22,5780,652,5100,680,0,0,0,2010-04-01,639,2007-06-01
98982,0,1999-01-01,0,0,0,21,0,23489,0.376,28,5726,773,5000,726,0,0,0,2010-07-01,161,2010-07-01
99009,0,1987-01-01,0,0,0,10,0,2817,0.102,16,6422,4105,5750,672,0,0,0,2010-05-01,5,2010-04-01
100214,0,1991-08-01,1,0,0,5,0,1783,0,11,5594,4112,5000,594,0,0,0,2010-08-01,158,2007-06-01
101579,0,2003-09-01,0,0,0,4,0,3534,0.544,4,11663,467,10000,1663,0,0,0,2010-07-01,329,2010-10-01
102376,0,2000-01-01,0,0,0,5,0,2422,0.233,12,29270,615,25000,4270,0,0,0,2010-06-01,4,2010-06-01
106079,0,2002-12-01,1,0,0,10,0,2864,0.411,16,3943,1352,3500,443,0,0,0,2009-03-01,1799,2016-05-01
106360,0,2003-08-01,1,0,0,12,0,3075,0.923,13,3416,696,2700,716,0,0,0,2010-07-01,97,2010-07-01
107136,1,1969-02-01,2,19,0,10,0,17214,0.081,24,13129,1635,12250,879,0,0,0,2008-04-01,9940,2007-07-01
109355,0,2004-05-01,2,24,0,3,0,1153,0.758,4,1426,0,1200,226,0,0,0,2010-07-01,40,2010-07-01
111227,0,1996-01-01,0,NA,NA,17,0,41674,0.741,26,20340,2846,16078,4263,0,0,0,2010-02-01,679,2016-05-01
111307,0,1995-04-01,3,78,0,9,0,43039,0.934,24,14450,3011,12000,2450,0,0,0,2010-07-01,403,2010-07-01
111917,0,2001-04-01,0,NA,NA,7,0,3362,0.693,8,7396,4710,6400,996,0,0,0,2010-08-01,207,2010-07-01
112216,2,1983-08-01,0,2,0,6,0,11868,0.719,23,14362,1227,12000,2342,19.89,0,0,2011-03-01,240,2011-03-01
112245,0,1985-02-01,2,0,0,4,0,2562,0.14,7,5594,4447,5000,594,0,0,0,2010-08-01,159,2016-04-01
112323,0,2003-09-01,0,0,0,17,0,1882,0.324,18,4098,1317,3500,583,15,0,0,2010-09-01,7,2010-08-01
112496,0,2000-07-01,2,0,61,3,1,1064,0.709,6,3580,627,3000,580,0,0,0,2010-08-01,102,2010-07-01
113156,1,1993-11-01,0,15,0,19,0,6432,0.06,37,3953,3953,3500,453,0,0,0,2010-08-01,111,2010-07-01
113179,0,2004-07-01,1,0,0,9,0,4485,0.369,11,704,669,545,139,0,22,1,2009-05-01,33,2009-10-01
113194,1,1993-11-01,0,5,0,13,0,16310,0.205,32,4064,2003,3500,564,0,0,0,2010-08-01,115,2010-07-01
116040,0,1991-04-01,0,38,0,9,0,20969,0.402,26,5779,896,5000,779,0,0,0,2010-08-01,164,2010-08-01
116582,0,2000-03-01,0,44,0,10,0,22213,0.659,22,12261,1196,10000,2261,0,0,0,2010-08-01,344,2010-08-01
117056,0,1992-12-01,1,47,0,12,0,2160,0.023,22,5593,1650,5000,593,0,0,0,2010-01-01,1222,2010-01-01
117249,0,1980-09-01,0,0,0,13,0,813,0.01,36,5496,1429,5000,496,0,0,0,2009-06-01,2234,2009-06-01
117794,0,1993-05-01,4,0,0,15,0,23678,0.244,60,7827,418,7500,327,0,0,0,2008-03-01,6416,2007-06-01
117863,0,2000-05-01,3,0,0,10,0,11289,0.478,15,9200,2617,8000,1200,0,0,0,2010-05-01,155,2014-02-01
118523,0,1990-07-01,0,0,0,11,0,56411,0.753,28,4055,140,2887,1169,0,0,0,2009-02-01,226,2016-05-01
118533,0,1994-02-01,3,0,0,9,0,269,0.038,35,2087,689,1731,355,1.36,0,0,2010-03-01,2,2016-05-01
118823,0,1992-07-01,1,0,0,11,0,3408,0.351,32,2221,600,1707,478,1.69,36,1,2010-03-01,2,2016-05-01
119043,0,1992-11-01,3,54,111,13,1,6513,0.343,29,11653,452,8689,2660,0,305,4,2009-10-01,1017,2010-03-01
120215,0,2002-11-01,0,0,0,2,0,330,0.11,4,4475,3999,4000,475,0,0,0,2010-08-01,120,2015-04-01
120374,0,2000-08-01,1,24,0,13,0,5967,0.198,17,2280,542,2000,280,0,0,0,2010-08-01,65,2010-08-01
120525,0,2001-08-01,1,0,0,4,0,5533,0.796,5,4709,1737,4000,709,0,0,0,2010-08-01,135,2011-06-01
121426,0,1984-09-01,0,0,0,15,0,21050,0.01,24,3126,3100,3000,126,0,0,0,2008-04-01,2564,2007-08-01
121530,0,1984-09-01,0,0,0,17,0,21050,0.007,29,3126,2319,3000,126,0,0,0,2008-04-01,2564,2007-08-01
121535,0,1999-05-01,1,NA,NA,6,0,8155,0.149,8,3192,1853,2800,392,0,0,0,2010-09-01,90,2007-08-01
121568,0,1999-05-01,1,NA,NA,6,0,8155,0.149,8,4623,2225,4000,623,0,0,0,2010-09-01,130,2007-08-01
121824,0,2000-02-01,0,0,0,10,0,3678,0.307,14,3159,2291,3000,159,0,0,0,2008-05-01,2495,2015-01-01
122070,0,1999-07-01,2,42,0,10,0,2040,0.362,21,6447,1970,5400,1047,0,0,0,2010-04-01,1056,2012-01-01
122404,0,2000-03-01,2,0,0,9,0,33074,0.688,9,13814,1734,12750,1064,0,0,0,2008-04-01,11150,2007-08-01
122637,0,2000-09-01,0,0,0,12,0,1918,0.171,16,4496,1743,4000,496,0,0,0,2010-09-01,127,2010-08-01
122718,0,2002-10-01,0,0,0,8,0,22379,0.622,15,20043,867,18500,1543,0,0,0,2008-04-01,16178,2011-02-01
123228,0,2001-08-01,0,0,0,4,0,10296,0.425,8,12839,625,10396,2443,0,0,0,2009-05-01,643,2016-05-01
123230,0,2004-02-01,3,0,0,16,0,2867,0.551,17,629,282,456,173,0,0,0,2008-03-01,105,2016-04-01
124436,0,2002-10-01,0,0,0,9,0,12310,0.861,15,5676,3636,4800,876,0,0,0,2010-09-01,161,2014-08-01
125671,0,1971-02-01,0,0,0,10,0,61921,0.391,27,13820,5785,12125,1695,0,0,0,2010-09-01,386,2010-09-01
125897,0,1997-06-01,2,0,0,9,0,16738,0.261,24,7175,2518,6625,550,0,0,0,2008-08-01,2330,2015-11-01
126213,0,1991-05-01,1,0,0,13,0,40384,0.092,28,10728,4404,9500,1228,0,0,0,2010-09-01,300,2010-09-01
126215,0,2001-10-01,2,0,0,8,0,1359,0.056,16,5460,2294,5000,460,0,0,0,2009-05-01,144,2009-05-01
126287,0,1979-06-01,2,0,0,18,0,107501,0.448,34,11069,3238,10000,1069,0,0,0,2008-10-01,7111,2008-09-01
126392,0,1985-09-01,3,0,0,14,0,3054,0.056,41,10436,2844,10000,436,0,0,0,2008-04-01,8554,2007-08-01
126776,0,1983-11-01,0,0,0,11,0,40384,0.096,25,10728,1384,9500,1228,0,0,0,2010-10-01,306,2010-09-01
126788,0,1995-04-01,3,0,0,9,0,128000,0,18,8105,6268,7500,605,0,0,0,2008-09-01,5469,2008-08-01
127213,0,1991-06-01,0,NA,NA,14,0,4709,0.185,8,2220,1748,2000,220,0,0,0,2010-04-01,4,2010-04-01
127353,1,1992-09-01,0,4,0,5,0,2850,0.75,19,3382,1246,2850,532,0,0,0,2010-04-01,10,2010-04-01
127472,0,1996-07-01,0,46,0,5,0,51,0,9,2581,667,944,383,0,1255,445,2009-03-01,74,2016-05-01
127504,0,1993-02-01,0,0,0,7,0,37152,0.037,19,11292,1490,10000,1292,0,0,0,2010-11-01,318,2010-11-01
127531,0,1992-01-01,1,0,0,13,0,3839,0.166,24,19556,346,17000,2556,0,0,0,2010-09-01,546,2015-11-01
127719,0,1993-02-01,0,0,0,6,0,37152,0.037,12,11292,4142,10000,1292,0,0,0,2010-11-01,324,2010-11-01
127830,1,1997-10-01,0,22,0,15,0,26283,0.395,20,7295,137,5718,1475,0,103,2,2009-12-01,267,2010-05-01
128635,0,2002-12-01,0,0,0,6,0,5607,0.422,7,7649,589,6500,1089,59.99999996,0,0,2010-10-01,189,2012-04-01
128881,0,2004-08-01,3,0,0,3,0,1061,0.819,4,8571,92,7000,1541,30,0,0,2010-11-01,127,2010-10-01
129745,0,1994-11-01,1,0,0,8,0,56740,0.775,23,11664,321,10000,1664,0,0,0,2010-10-01,328,2010-09-01
130512,0,1992-08-01,1,0,0,11,0,40598,0.773,42,8193,481,7250,943,0,0,0,2009-05-01,3947,2010-03-01
130735,0,2004-03-01,1,0,0,28,0,3815,0.065,32,11445,1033,10250,1195,0,0,0,2008-09-01,7925,2008-08-01
130907,0,1996-12-01,1,64,0,10,0,0,0,22,4192,1028,3775,417,0,0,0,2010-08-01,10,2016-03-01
130986,0,1963-05-01,0,0,0,4,0,50,0.003,6,2339,2033,2100,239,0,0,0,2010-10-01,70,2010-12-01
131223,0,1997-11-01,1,34,0,4,0,4569,0.564,7,25189,1512,20000,5189,0,0,0,2010-10-01,708,2010-09-01
131387,0,1999-04-01,0,0,0,6,0,8528,0.861,7,7030,703,6000,1030,0,0,0,2010-10-01,199,2010-09-01
131618,0,2000-01-01,0,0,0,11,0,14345,0.458,21,10642,917,9000,1642,0,0,0,2010-10-01,299,2013-03-01
131649,0,1998-07-01,1,41,0,11,0,113,0.024,21,7834,1212,6625,1209,0,0,0,2010-10-01,220,2010-09-01
131782,0,1999-04-01,3,0,0,8,0,12231,0.81,13,6138,813,4387,1602,0,151,2,2009-12-01,51,2010-05-01
132062,1,1997-06-01,0,8,0,14,0,13552,0.691,18,8944,1553,7200,1744,0,0,0,2010-10-01,253,2016-04-01
132172,0,2000-11-01,0,0,0,11,0,16813,0.639,13,6940,1041,6000,940,0,0,0,2010-02-01,1693,2010-02-01
132892,0,1997-08-01,3,60,117,9,1,26233,0.629,37,4016,312,1497,610,0,1910,669,2008-05-01,302,2016-05-01
132946,0,1982-07-01,0,0,0,7,0,5760,0.16,10,5901,1091,5275,626,0,0,0,2010-10-01,173,2010-10-01
133301,1,1989-11-01,1,22,0,3,0,105,0.35,25,4074,678,2939,677,0,460,125,2009-10-01,151,2016-05-01
133685,0,2001-10-01,0,0,0,10,0,11490,0.957,11,7763,1114,6625,1138,0,0,0,2010-02-01,1889,2010-03-01
134436,1,1993-05-01,3,23,0,13,0,17641,0.305,24,3069,1216,2525,544,0,0,0,2010-10-01,90,2015-08-01
135201,0,1998-10-01,3,0,0,5,0,0,0,9,10274,206,10000,274,0,0,0,2008-01-01,9618,2007-09-01
135594,0,1983-09-01,1,0,0,13,0,12430,0.192,32,5505,1305,5275,230,0,0,0,2008-05-01,4513,2007-09-01
136226,0,2003-06-01,0,0,0,8,0,12323,0.44,16,5036,996,4300,736,0,0,0,2010-04-01,965,2016-05-01
136316,0,1998-09-01,0,0,0,10,0,38624,0.978,23,3516,1308,3025,491,0,0,0,2010-05-01,577,2016-05-01
136491,1,2001-08-01,2,15,0,5,0,875,0.547,8,2478,780,1757,575,0,147,2,2009-07-01,334,2015-03-01
136634,4,1987-12-01,3,15,0,7,0,1196,0.12,16,10236,1536,8500,1736,0,0,0,2010-10-01,290,2010-10-01
137042,1,2000-03-01,3,12,0,9,0,26628,0.604,18,6990,897,5650,1340,0,0,0,2010-10-01,204,2010-10-01
137106,0,1991-11-01,2,0,0,12,0,6752,0.246,18,4383,539,4275,108,0,0,0,2008-01-01,4106,2007-10-01
137271,0,2003-09-01,1,0,0,3,0,458,0.916,3,2314,1212,401,161,0,1754,614,2008-06-01,71,2016-05-01
137965,0,1998-02-01,0,0,0,7,0,16786,0.447,12,9014,3916,8000,1014,0,0,0,2010-02-01,2223,2011-01-01
138557,0,1981-02-01,0,76,0,10,0,7336,0.299,20,9475,716,8275,1200,0,0,0,2010-10-01,266,2010-10-01
138568,0,1997-08-01,1,0,0,10,0,7089,0.419,25,3768,1467,3275,493,0,0,0,2010-10-01,115,2010-10-01
139057,0,1993-10-01,0,0,0,7,0,18388,0.689,22,6208,1750,5500,708,0,0,0,2010-09-01,13,2010-09-01
139657,0,2002-07-01,2,54,0,2,0,613,0.766,7,1394,350,1200,194,0,0,0,2010-11-01,41,2013-07-01
139790,1,2004-09-01,3,14,0,3,0,566,0.515,5,3598,2638,1957,545,0,1096,390,2009-12-01,101,2016-05-01
139968,0,2001-09-01,1,41,0,9,0,9166,0.504,20,12075,2627,10000,2075,0,0,0,2010-07-01,1334,2012-04-01
139980,0,1994-05-01,0,62,76,6,1,5406,0.334,14,4821,1348,3892,845,29.97072527,56,1,2010-03-01,164,2010-08-01
140036,0,2001-11-01,2,0,0,7,0,1188,0.03,7,869,478,720,149,0,0,0,2010-01-01,33,2016-05-01
140452,0,1976-12-01,1,0,0,9,0,12003,0.404,9,3529,2147,3000,484,44.99999994,0,0,2010-10-01,109,2010-10-01
140561,0,1994-08-01,1,0,0,9,0,20511,0.62,9,521,53,324,111,0,86,1,2008-05-01,73,2009-01-01
140687,0,1997-09-01,2,0,0,11,0,55720,0.1,41,3265,1965,2825,440,0,0,0,2010-11-01,97,2016-05-01
140900,0,1980-10-01,0,0,0,14,0,7744,0.171,34,8540,594,8275,265,0,0,0,2008-04-01,7502,2007-10-01
141041,0,1992-11-01,1,0,0,12,0,51761,0.38,37,6096,1012,5275,821,0,0,0,2010-11-01,172,2010-10-01
141676,0,2003-09-01,0,0,0,10,0,579,0.232,15,6891,1522,6225,666,0,0,0,2008-12-01,4428,2015-09-01
141774,0,1982-12-01,0,0,0,15,0,34776,0.543,41,1606,652,1029,428,0,149,6,2008-08-01,163,2016-05-01
142281,0,2002-08-01,0,0,0,15,0,8047,0.338,15,7851,617,7000,851,0,0,0,2009-05-01,3996,2016-04-01
142608,0,1999-01-01,3,0,0,6,0,0,0,6,5932,2788,5000,827,105,0,0,2010-10-01,491,2010-09-01
142618,1,2000-09-01,0,9,0,5,0,409,0.818,17,5702,1931,4800,902,0,0,0,2010-11-01,163,2010-10-01
142734,0,1981-04-01,0,0,0,9,0,185,0.005,18,27753,1915,25000,2753,0,0,0,2009-06-01,13443,2009-06-01
142790,0,1990-06-01,2,0,0,13,0,48251,0.501,28,5665,2013,4925,740,0,0,0,2010-06-01,666,2016-05-01
143102,0,2000-09-01,0,59,0,23,0,772,0.965,29,3500,2336,3000,500,0,0,0,2010-11-01,99,2010-11-01
143128,1,1999-05-01,1,11,0,9,0,1019,0.045,13,9505,1598,8000,1505,0,0,0,2010-11-01,274,2016-04-01
143566,0,1992-05-01,2,38,0,11,0,8332,0.399,28,14567,324,12375,2192,0,0,0,2010-11-01,406,2010-10-01
144579,0,1991-02-01,1,0,0,12,0,1790,0.045,22,10462,4382,9850,612,0,0,0,2008-10-01,7388,2008-10-01
144635,0,1990-06-01,3,0,0,14,0,62739,0.747,33,9240,1372,6647,2584,0,11,4,2008-10-01,840,2016-05-01
146564,0,1995-01-01,2,60,0,6,0,29901,0.712,19,8095,2248,6701,1373,14.99593584,7,2,2010-05-01,554,2016-05-01
146641,0,2003-07-01,1,0,0,6,0,5867,0.743,7,8232,5197,8000,232,0,0,0,2008-02-01,7704,2007-10-01
146671,0,2001-12-01,1,0,0,8,0,10605,0.221,27,26132,2980,25000,1132,0,0,0,2008-05-01,22121,2009-08-01
146844,0,1981-05-01,3,0,0,27,0,57196,0.445,39,12700,2872,6317,4641,20.21764038,1722,387,2011-12-01,101,2011-12-01
148473,0,1994-05-01,2,28,0,4,0,481,0.802,17,4485,818,3240,894,47.68952632,305,4,2009-07-01,501,2011-01-01
149575,0,2003-07-01,1,0,0,2,0,2282,0.19,2,11122,3059,10000,1122,0,0,0,2009-10-01,20,2009-10-01
149754,0,2004-09-01,1,0,0,8,0,3614,0.613,13,4709,1140,4000,709,0,0,0,2010-11-01,136,2016-05-01
150940,0,1989-02-01,1,0,113,9,1,14930,0.79,21,8175,1168,7000,1175,0,0,0,2010-05-01,1572,2016-04-01
151587,0,1979-01-01,0,0,0,7,0,33989,0.829,16,22760,771,19950,2810,0,0,0,2009-11-01,7967,2009-11-01
151607,1,2003-08-01,1,5,0,4,0,1238,0.619,6,1665,972,1500,165,0,0,0,2008-09-01,1200,2008-08-01
151621,0,1987-04-01,2,30,0,14,0,4746,0.185,33,20610,401,18000,2610,0,0,0,2010-11-01,575,2010-11-01
152291,0,1999-07-01,0,0,0,7,0,3470,0.255,8,5396,1238,4800,596,0,0,0,2010-11-01,152,2010-11-01
152663,0,2002-12-01,0,0,0,9,0,12640,0.832,12,3162,2345,3000,162,0,0,0,2008-06-01,2582,2008-01-01
153022,0,1985-04-01,0,0,0,7,0,368,0.012,15,3340,2032,3000,340,0,0,0,2010-10-01,12,2010-10-01
153054,1,1996-02-01,1,9,0,5,0,30597,0.895,25,6691,1225,5875,816,0,0,0,2009-07-01,3045,2009-08-01
153235,0,1994-01-01,0,0,0,5,0,8537,0.755,5,21381,665,18000,3381,0,0,0,2010-11-01,598,2011-10-01
153434,0,2003-09-01,2,0,0,10,0,15649,0.545,23,14205,810,12000,2166,39.23999999,0,0,2010-11-01,307,2011-08-01
154141,0,1972-05-01,0,0,0,10,0,4067,0.073,24,5418,1355,5000,418,0,0,0,2009-03-01,3077,2010-12-01
154154,0,2000-03-01,0,52,114,11,1,5836,0.687,12,5135,1177,4800,335,0,0,0,2008-08-01,3892,2008-08-01
154286,0,1993-12-01,0,0,0,3,0,24615,0.947,6,17587,1144,15000,2587,0,0,0,2011-03-01,574,2011-02-01
154305,0,1993-10-01,0,64,5,5,1,7600,0.717,10,4199,1380,3600,599,0,0,0,2010-11-01,118,2011-01-01
154776,0,2002-09-01,2,0,0,8,0,9495,0.879,8,2010,259,1493,518,0,0,0,2008-08-01,224,2015-03-01
155780,0,1990-07-01,0,0,0,9,0,4921,0.304,9,5163,861,4800,363,0,0,0,2009-01-01,3215,2009-01-01
156021,0,1998-07-01,1,0,0,7,0,11200,0.232,11,7776,1276,6400,1376,0,0,0,2012-04-01,74,2012-03-01
156417,0,1987-07-01,3,0,0,12,0,2444,0.056,31,6209,1087,6000,209,0,0,0,2008-06-01,5279,2013-09-01
156868,0,2002-02-01,0,0,0,8,0,916,0.068,8,28483,1324,24750,3733,0,0,0,2011-01-01,813,2010-12-01
157169,0,1997-11-01,5,0,0,12,0,148829,0.066,43,10362,207,8261,2101,0,0,0,2008-12-01,822,2016-05-01
157768,0,1997-12-01,0,29,0,14,0,3209,0.126,37,4560,488,4000,560,0,0,0,2010-12-01,129,2011-02-01
158289,0,1997-05-01,0,34,0,7,0,7570,0.823,16,10594,864,9000,1594,0,0,0,2010-12-01,298,2016-04-01
158706,0,2000-12-01,0,0,103,4,1,13126,0.965,4,14371,1162,12375,1996,0,0,0,2010-02-01,4260,2014-05-01
159468,0,1995-09-01,1,0,0,16,0,66654,0.516,34,13400,2122,12000,1400,0,0,0,2009-02-01,8232,2009-02-01
159665,0,1963-05-01,0,0,0,4,0,50,0.003,6,6433,1793,5750,683,0,0,0,2010-12-01,184,2010-12-01
159713,0,2002-03-01,3,0,0,4,0,3084,0.656,4,987,713,805,144,0,39,14,2011-05-01,30,2016-05-01
161187,0,1992-07-01,1,0,0,10,0,2598,0.238,15,14774,1141,12950,1824,0,0,0,2009-12-01,5172,2009-12-01
163627,0,1990-07-01,2,32,0,15,0,18168,0.685,30,4687,1124,4000,687,0,0,0,2010-12-01,135,2013-02-01
163758,0,1982-03-01,2,0,0,7,0,24218,0.853,7,3548,595,3000,548,0,0,0,2010-12-01,100,2010-12-01
164346,0,2003-11-01,0,0,0,4,0,0,0,4,566,453,500,66,0,0,0,2010-12-01,34,2015-11-01
164741,0,1987-11-01,1,59,0,9,0,72303,0.737,33,18833,606,16000,2833,0,0,0,2010-12-01,527,2010-12-01
164792,0,2004-10-01,0,0,0,6,0,1032,0.05,7,18921,1076,17600,1321,0,0,0,2008-12-01,12792,2008-12-01
166437,0,1997-12-01,1,33,0,6,0,133,0.042,20,11290,794,9600,1690,0,0,0,2010-08-01,117,2016-04-01
166534,2,2002-01-01,1,6,0,15,0,34023,0.577,19,8878,110,6436,2010,0,432,5,2009-04-01,528,2009-12-01
166546,0,1995-08-01,5,0,0,8,0,12430,0.296,14,3136,262,3000,136,0,0,0,2008-08-01,2484,2009-12-01
166683,0,1979-10-01,3,0,0,24,0,10742,0.089,43,7306,1427,6500,806,0,0,0,2010-12-01,205,2014-05-01
166747,2,2000-04-01,0,15,0,5,0,2197,0.758,13,2832,198,1998,654,44.99300808,137,2,2009-04-01,708,2009-12-01
167189,3,1995-10-01,1,7,0,4,0,88,0.238,18,1588,73,1214,374,0,0,0,2008-10-01,159,2016-05-01
167205,0,1988-09-01,0,42,0,15,0,13867,0.337,24,17496,409,15000,2496,0,0,0,2010-12-01,491,2011-02-01
167584,0,1994-06-01,3,80,0,2,0,3943,0.986,5,4514,158,3495,1020,0,0,0,2009-02-01,323,2016-02-01
